City,Country,AccentCity,Region, Population ,Latitude,Longitude
bielefeld,de,Bielefeld,7," 327,198 ",52.033333,8.533333
yanji,cn,Yanji,5," 326,957 ",42.771389,129.423333
moji das cruzes,br,Moji das Cruzes,27," 325,753 ",-23.516667,-46.183333
sao vicente,br,S„o Vicente,27," 324,464 ",-23.966667,-46.383333
canberra,au,Canberra,1," 324,025 ",-35.27603,149.13435
villavicencio,co,Villavicencio,19," 321,721 ",4.142002,-73.626645
jundiai,br,JundiaÌ,27," 321,595 ",-23.183333,-46.866667
pelotas,br,Pelotas,23," 320,680 ",-31.766667,-52.333333
maroua,cm,Maroua,12," 319,974 ",10.5955556,14.3247222
anapolis,br,An·polis,29," 319,592 ",-16.333333,-48.966667
holguin,cu,HolguÌn,12," 319,114 ",20.8872222,-76.2630556
shangrao,cn,Shangrao,3," 318,769 ",28.453221,117.968604
hrodna,by,Hrodna,3," 317,366 ",53.6813889,23.8147222
ostrava,cz,Ostrava,85," 317,136 ",49.811852,18.255282
baicheng,cn,Baicheng,5," 316,970 ",45.616667,122.816667
valladolid,es,Valladolid,55," 315,859 ",41.655181,-4.72372
armenia,co,Armenia,23," 315,332 ",4.533889,-75.681111
bonn,de,Bonn,7," 314,081 ",50.733333,7.1
soacha,co,Soacha,33," 313,950 ",4.579368,-74.216819
posadas,ar,Posadas,14," 313,438 ",-27.367077,-55.896078
jinxi,cn,Jinxi,19," 313,247 ",40.764317,120.85327
vitoria,br,VitÛria,8," 312,662 ",-20.316667,-40.35
tongling,cn,Tongling,1," 312,588 ",30.933333,117.816667
maringa,br,Maring·,18," 311,727 ",-23.416667,-51.916667
cordoba,es,CÛrdoba,51," 311,186 ",37.89155,-4.772748
jingdezhen,cn,Jingdezhen,3," 310,565 ",29.2947,117.207887
guaruja,br,Guaruj·,27," 310,430 ",-24,-46.266667
antofagasta,cl,Antofagasta,3," 309,835 ",-23.65,-70.4
mannheim,de,Mannheim,1," 309,626 ",49.488333,8.464722
coventry,gb,Coventry,C7," 308,314 ",52.416667,-1.55
valledupar,co,Valledupar,10," 308,242 ",10.46314,-73.253224
varna,bg,Varna,61," 307,952 ",43.2166667,27.9166667
dongying,cn,Dongying,25," 306,450 ",37.456389,118.485556
el faiyum,eg,El Faiy˚m,4," 306,421 ",29.3077778,30.84
porto velho,br,PÙrto Velho,24," 306,206 ",-8.766667,-63.9
franca,br,Franca,27," 305,047 ",-20.533333,-47.4
kingston upon hull,gb,Kingston upon Hull,G6," 302,297 ",53.716667,-0.333333
